EmployeeNumber,Age,Gender,MaritalStatus,EducationField,Department
1784,31,Female,Married,Marketing,Sales
1786,51,Female,Married,Technical Degree,Research & Development
1787,37,Male,Married,Marketing,Sales
1789,46,Male,Divorced,Medical,Research & Development
1790,36,Male,Married,Life Sciences,Research & Development
1792,44,Male,Divorced,Medical,Research & Development
1794,37,Male,Divorced,Other,Human Resources
1797,35,Male,Single,Life Sciences,Sales
1798,33,Male,Married,Life Sciences,Research & Development
1799,28,Male,Married,Life Sciences,Research & Development
1800,39,Male,Single,Medical,Research & Development
1801,46,Male,Single,Life Sciences,Sales
1802,40,Female,Married,Life Sciences,Research & Development
1803,42,Male,Married,Medical,Research & Development
1804,35,Male,Divorced,Medical,Research & Development
1805,38,Male,Divorced,Human Resources,Human Resources
1807,34,Male,Married,Life Sciences,Research & Development
1809,37,Male,Single,Medical,Research & Development
1812,39,Male,Divorced,Life Sciences,Sales
1813,43,Male,Single,Life Sciences,Research & Development
1814,41,Male,Single,Life Sciences,Research & Development
1815,41,Female,Divorced,Marketing,Sales
1816,30,Female,Single,Medical,Research & Development
1818,26,Female,Married,Medical,Human Resources
1821,46,Female,Married,Medical,Research & Development
1822,40,Female,Divorced,Life Sciences,Research & Development
1823,34,Male,Married,Technical Degree,Sales
1824,58,Male,Divorced,Medical,Sales
1826,35,Male,Married,Medical,Research & Development
1827,47,Female,Divorced,Life Sciences,Research & Development
1829,40,Female,Divorced,Life Sciences,Research & Development
1830,54,Female,Married,Medical,Research & Development
1833,31,Female,Married,Marketing,Sales
1834,28,Female,Married,Medical,Research & Development
1835,38,Female,Married,Marketing,Sales
1836,26,Male,Single,Medical,Sales
1837,58,Male,Married,Life Sciences,Research & Development
1839,18,Female,Single,Medical,Research & Development
1842,31,Male,Married,Human Resources,Human Resources
1844,29,Male,Divorced,Human Resources,Human Resources
1845,45,Female,Married,Life Sciences,Sales
1847,36,Female,Married,Other,Research & Development
1849,43,Male,Married,Life Sciences,Sales
1850,27,Female,Single,Life Sciences,Research & Development
1852,29,Male,Married,Medical,Research & Development
1853,32,Male,Single,Marketing,Sales
1854,42,Male,Married,Technical Degree,Research & Development
1856,47,Female,Single,Life Sciences,Research & Development
1857,46,Male,Divorced,Life Sciences,Research & Development
1858,28,Male,Divorced,Life Sciences,Human Resources
1859,29,Male,Divorced,Life Sciences,Research & Development
1860,42,Male,Single,Life Sciences,Research & Development
1862,32,Male,Single,Marketing,Sales
1863,46,Female,Divorced,Technical Degree,Sales
1864,27,Female,Married,Medical,Sales
1865,29,Male,Married,Medical,Human Resources
1866,43,Female,Married,Medical,Research & Development
1867,48,Male,Married,Life Sciences,Research & Development
1868,29,Male,Single,Life Sciences,Research & Development
1869,46,Female,Married,Life Sciences,Sales
1870,27,Female,Married,Life Sciences,Research & Development
1871,39,Male,Divorced,Other,Research & Development
1873,55,Male,Married,Technical Degree,Research & Development
1875,28,Female,Married,Medical,Sales
1876,30,Male,Single,Medical,Sales
1878,22,Male,Single,Life Sciences,Research & Development
1880,36,Female,Married,Technical Degree,Sales
1881,31,Male,Divorced,Life Sciences,Research & Development
1882,34,Male,Married,Life Sciences,Sales
1883,29,Male,Single,Life Sciences,Research & Development
1885,37,Male,Married,Medical,Research & Development
1886,35,Female,Married,Other,Research & Development
1888,45,Female,Married,Life Sciences,Research & Development
1890,36,Male,Single,Human Resources,Human Resources
1892,40,Male,Divorced,Life Sciences,Research & Development
1893,26,Female,Married,Life Sciences,Research & Development
1898,27,Female,Single,Medical,Sales
1900,48,Female,Divorced,Medical,Research & Development
1903,44,Male,Married,Life Sciences,Research & Development
1905,34,Male,Married,Technical Degree,Research & Development
1907,56,Male,Single,Life Sciences,Research & Development
1908,36,Male,Married,Marketing,Sales
1909,41,Female,Married,Marketing,Sales
1911,42,Male,Married,Medical,Research & Development
1912,31,Female,Divorced,Medical,Sales
1915,34,Female,Married,Medical,Sales
1916,31,Female,Divorced,Medical,Research & Development
1918,26,Male,Married,Other,Research & Development
1922,45,Male,Single,Medical,Research & Development
1924,33,Male,Single,Marketing,Sales
1927,28,Male,Married,Life Sciences,Sales
1928,29,Male,Single,Technical Degree,Sales
1929,39,Female,Married,Life Sciences,Sales
1931,27,Male,Married,Technical Degree,Research & Development
1932,34,Male,Married,Other,Research & Development
1933,28,Female,Single,Marketing,Sales
1934,47,Male,Married,Technical Degree,Research & Development
1935,56,Female,Married,Marketing,Sales
1936,39,Male,Married,Medical,Research & Development
1937,38,Female,Divorced,Medical,Research & Development
1938,58,Female,Married,Life Sciences,Sales
1939,32,Female,Single,Life Sciences,Research & Development
1940,38,Male,Divorced,Life Sciences,Research & Development
1941,49,Male,Married,Life Sciences,Research & Development
1943,42,Male,Divorced,Marketing,Sales
1944,27,Female,Married,Human Resources,Human Resources
1945,35,Male,Married,Medical,Sales
1947,28,Male,Single,Medical,Research & Development
1948,31,Male,Divorced,Medical,Research & Development
1949,36,Male,Married,Life Sciences,Research & Development
1950,34,Male,Single,Marketing,Sales
1951,34,Male,Divorced,Medical,Sales
1952,26,Male,Single,Medical,Research & Development
1954,29,Male,Married,Life Sciences,Research & Development
1955,32,Female,Divorced,Medical,Research & Development
1956,31,Male,Married,Life Sciences,Research & Development
1960,28,Male,Divorced,Technical Degree,Research & Development
1961,38,Male,Single,Life Sciences,Sales
1962,35,Female,Married,Life Sciences,Sales
1965,27,Male,Single,Marketing,Sales
1966,32,Male,Single,Life Sciences,Research & Development
1967,31,Male,Married,Marketing,Sales
1968,53,Male,Single,Life Sciences,Sales
1969,54,Female,Married,Life Sciences,Research & Development
1970,33,Male,Divorced,Life Sciences,Research & Development
1971,43,Male,Married,Life Sciences,Research & Development
1972,38,Male,Married,Other,Human Resources
1973,55,Male,Married,Human Resources,Human Resources
1974,31,Female,Divorced,Medical,Research & Development
1975,39,Male,Single,Marketing,Sales
1976,42,Male,Single,Life Sciences,Research & Development
1979,31,Female,Married,Medical,Research & Development
1980,54,Female,Single,Medical,Research & Development
1981,24,Male,Single,Life Sciences,Research & Development
1982,23,Male,Single,Other,Research & Development
1985,40,Female,Married,Technical Degree,Research & Development
1986,40,Female,Married,Marketing,Sales
1987,25,Female,Married,Human Resources,Human Resources
1989,30,Male,Married,Medical,Research & Development
1992,25,Male,Divorced,Other,Research & Development
1993,47,Male,Single,Medical,Research & Development
1994,33,Male,Divorced,Medical,Research & Development
1995,38,Male,Married,Life Sciences,Sales
1996,31,Male,Married,Life Sciences,Sales
1997,38,Male,Married,Life Sciences,Research & Development
1998,42,Male,Divorced,Life Sciences,Research & Development
1999,41,Male,Married,Life Sciences,Research & Development
2000,47,Female,Married,Medical,Research & Development
2003,35,Male,Married,Medical,Research & Development
2007,22,Male,Single,Life Sciences,Research & Development
2008,35,Male,Single,Medical,Research & Development
2009,33,Female,Married,Medical,Research & Development
2010,32,Female,Single,Life Sciences,Research & Development
2012,40,Male,Married,Life Sciences,Research & Development
2013,32,Male,Married,Medical,Sales
2014,39,Male,Single,Life Sciences,Research & Development
2015,38,Female,Married,Medical,Research & Development
2016,32,Female,Married,Marketing,Sales
2017,37,Female,Married,Life Sciences,Research & Development
2018,25,Female,Divorced,Other,Sales
2019,52,Male,Divorced,Life Sciences,Sales
2020,44,Male,Single,Medical,Research & Development
2021,21,Male,Single,Medical,Sales
2022,39,Male,Single,Life Sciences,Research & Development
2023,23,Male,Married,Marketing,Sales
2024,36,Female,Married,Medical,Sales
2025,36,Female,Divorced,Life Sciences,Research & Development
2026,56,Male,Divorced,Life Sciences,Research & Development
2027,29,Male,Married,Medical,Research & Development
2031,42,Male,Married,Life Sciences,Research & Development
2032,56,Male,Married,Technical Degree,Research & Development
2034,41,Female,Married,Life Sciences,Research & Development
2035,34,Female,Married,Marketing,Sales
2036,36,Male,Divorced,Marketing,Sales
2037,41,Male,Divorced,Life Sciences,Sales
2038,32,Male,Single,Technical Degree,Research & Development
2040,35,Female,Single,Life Sciences,Human Resources
2041,38,Female,Married,Life Sciences,Sales
2044,50,Male,Divorced,Life Sciences,Sales
2045,36,Female,Married,Marketing,Sales
2046,45,Female,Single,Life Sciences,Sales
2048,40,Male,Single,Life Sciences,Research & Development
2049,35,Male,Married,Life Sciences,Research & Development
2051,40,Female,Married,Medical,Research & Development
2052,35,Female,Married,Life Sciences,Research & Development
2053,29,Male,Married,Other,Research & Development
2054,29,Female,Single,Medical,Research & Development
2055,50,Male,Divorced,Marketing,Sales
2056,39,Female,Married,Marketing,Sales
2057,31,Male,Single,Medical,Research & Development
2060,26,Female,Single,Other,Sales
2061,36,Male,Married,Medical,Research & Development
2062,39,Male,Married,Medical,Research & Development
2064,27,Male,Married,Life Sciences,Research & Development
2065,49,Male,Married,Medical,Sales
2068,34,Male,Married,Medical,Research & Development
